taxonID,scientificName,kingdom,phylum,class,order,family,nomenclaturalCode
gn_182,Eudromia elegans albida,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_183,Eudromia elegans wetmorei,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_184,Eudromia elegans devia,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_185,Eudromia elegans numida,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_186,Eudromia elegans multiguttata,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_187,Eudromia elegans elegans,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_188,Eudromia elegans patagonica,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_189,Eudromia formosa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_190,Eudromia formosa mira,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_191,Eudromia formosa formosa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_192,Tinamotis pentlandii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_193,Tinamotis ingoufi,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_194,Casuarius casuarius,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
gn_195,Casuarius bennetti,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
gn_196,Casuarius unappendiculatus,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
gn_197,Dromaius novaehollandiae,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
